seq_num,add_order_id,add_side,add_price,add_qty,update_order_id,update_side,update_price,update_qty,delete_order_id,delete_side,trade_order_id,trade_side,trade_price,trade_qty,time
1627942268920653172,7456389231055194163,BUY,218,300,,,,,,,,,,,2021-08-02 22:11:21.94404 UTC
1627942268920653171,7455201758497478055,BUY,228,50,,,,,,,,,,,2021-08-02 22:11:21.94404 UTC
1627942268920653173,7457972527797789251,BUY,228.2,300,,,,,,,,,,,2021-08-03 01:00:01.107428 UTC
1627942268920653174,7457972527797789252,SELL,230.2,300,,,,,,,,,,,2021-08-03 01:00:01.107502 UTC
1627942268920653175,7457972527797789518,BUY,228.4,300,,,,,,,,,,,2021-08-03 01:00:01.326608 UTC
1627942268920653176,7457972527797790256,BUY,229.13,1000,,,,,,,,,,,2021-08-03 01:00:03.22333 UTC
1627942268920653177,7457972527797790258,SELL,229.35,1000,,,,,,,,,,,2021-08-03 01:00:03.225576 UTC
1627942268920653178,7457972527797790267,BUY,227.07,5000,,,,,,,,,,,2021-08-03 01:00:03.256427 UTC
1627942268920653179,7457972527797790268,SELL,231.42,5000,,,,,,,,,,,2021-08-03 01:00:03.256497 UTC
